Titolo,Codice,Tipo,Volume,"Autore (Cognome, Nome)","Autore (Cognome, Nome) copy","Autore (Cognome, Nome) copy copy",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,Fondo (from Fondo),pdf,Immagine
Da Salerno a Yalta. Vent'anni di lotta politica negli articoli di Rinascita,01.1.TOGDAS,Libro edito,,"Togliatti, Palmiro",,,1984,Roma,Rinascita,"Politica,Storia,Comunismo",Venturati,Venturati,,
La formazione del gruppo dirigente del Partito Comunista Italiano,01.1.TOGFOR,Libro edito,,"Togliatti, Palmiro",,,1962,Roma,Editori Riuniti,"Politica,Comunismo",Venturati,Venturati,,
Con l'armata italiana in Russia,01.1.TOLCON,Libro edito,,"Tolloy, Giusto",,,1947,Torino,De Silva,"Storia,Esteri",Venturati,Venturati,,
Filippo Turati,01.1.TREFIL,Libro edito,,"Treves, Claudio",,,1945,Roma-Milano,Avanti!,"Biografico,Socialismo",Venturati,Venturati,,
Lineamenti di una Storia del movimento operaio italiano. Dalla rivoluzione industriale alla I Internazionale,01.1.TRELIN.1,Libro edito,1,"Trevisani, Giulio",,,1958,Milano-Roma,Edizioni Avanti!,"Storia,Operaismo",Venturati,Venturati,,
Lineamenti di una Storia del movimento operaio italiano. Dalla I Internazionale a fine secolo,01.1.TRELIN.2,Libro edito,2,"Trevisani, Giulio",,,1960,Milano-Roma,Edizioni Avanti!,"Storia,Operaismo",Venturati,Venturati,,
Un socialista: Filippo Turati,01.1.TRESOC,Libro edito,,"Treves, Claudio",,,1940,Roma,Critica Sociale,"Biografico,Socialismo",Venturati,Venturati,,
Quaderni rossi. La fabbrica e la società,01.1.TROQUA.2,Libro edito,2,"Tronti, M.",,,1962,Milano,Istituto Morando,"Politica,Comunismo",Venturati,Venturati,,
Scritti,01.1.TROSCR,Libro edito,,"Trotskij, Lev",,,1962,Torino,Einaudi,"Politica,Comunismo",Venturati,Venturati,,
Storia della rivoluzione russa 1,01.1.TROSTO.1,Libro edito,1,"Trotskij, Lev",,,1939,Roma,Garzanti,"Politica,Comunismo",Venturati,Venturati,,
Storia della rivoluzione russa 2,01.1.TROSTO.2,Libro edito,2,"Trotskij, Lev",,,1939,Roma,Garzanti,"Politica,Comunismo",Venturati,Venturati,,
Storia della rivoluzione russa 3,01.1.TROSTO.3,Libro edito,3,"Trotskij, Lev",,,1939,Roma,Garzanti,"Politica,Comunismo",Venturati,Venturati,,
L'organizzazione socialista,01.1.TURLOR,Libro edito,,"Turati, Filippo",,,1958,Roma,Opere Nuove,"Politica,Socialismo",Venturati,Venturati,,
Gli intellettuali di sinistra e la crisi del 1956,01.1.VACINT,Libro edito,,"Vacca, Giuseppe",,,1978,Roma,Rinascita - Editori riuniti,"Politica,Comunismo",Venturati,Venturati,,
Il pensiero politico contemporaneo,01.1.VALPEN,Libro edito,,"Valentini, Francesco",,,1979,Bari,Laterza,"Politica,Filosofia politica",Venturati,Venturati,,
Questioni di storia del socialismo,01.1.VALQUE,Libro edito,,"Valiani, Leo",,,1958,Torino,Einaudi,"Storia,Socialismo",Venturati,Venturati,,
La sinistra democratica in Italia,01.1.VALSIN,Libro edito,,"Valiani, Leo",,,1977,Roma,Della Voce,Politica,Venturati,Venturati,,
I cinesi. In margine al contrasto Mosca-Pechino,01.1.VASCIN,Libro edito,,"Vasconi, Luciano",,,1964,Milano,Azione Comune,"Politica,Comunismo,Esteri",Venturati,Venturati,,
Il processo civile avanti al Pretore,01.1.VISPRO.1,Libro edito,1,"Visco, Antonio",,,1952,S. Maria C.V.,Schiano,Giuridico,Venturati,Venturati,,
Il processo civile avanti al Pretore,01.1.VISPRO.2,Libro edito,2,"Visco, Antonio",,,1952,S. Maria C.V.,Schiano,Giuridico,Venturati,Venturati,,
Il processo civile avanti al Pretore,01.1.VISPRO.3,Libro edito,3,"Visco, Antonio",,,1952,S. Maria C.V.,Schiano,Giuridico,Venturati,Venturati,,
Il comunismo sovietico: una nuova civiltà,01.1.WEBCOM.1,Libro edito,1,"Webb, Sidney","Webb, Beatrice",,1950,Torino,Einaudi,"Politica,Comunismo,Esteri",Venturati,Venturati,,
Il comunismo sovietico: una nuova civiltà,01.1.WEBCOM.2,Libro edito,2,"Webb, Sidney","Webb, Beatrice",,1950,Torino,Einaudi,"Politica,Comunismo,Esteri",Venturati,Venturati,,
Trotskij in esilio,01.1.WEITRO,Libro edito,,"Weiss, Peter",,,1970,Torino,Einaudi,"Biografico,Esteri,Comunismo,Storia",Venturati,Venturati,,
Storia della Quarta Repubblica,01.1.WERSTO,Libro edito,,"Werth, Alexander",,,1958,Torino,Einaudi,"Storia,Esteri",Venturati,Venturati,,
"Stelle, strisce e tricolore",01.1.WOLSTE,Libro edito,,"Wollemborg, Leo J.",,,1983,Milano,Mondadori,"Politica,Esteri",Venturati,Venturati,,
I tre artefici della rivoluzione d'ottobre,01.1.WOLTRE,Libro edito,,"Wolfe, B.D.",,,1953,Firenze,La Nuova Italia,"Storia,Esteri,Comunismo",Venturati,Venturati,,
Il lungo viaggio attraverso il fascismo,01.1.ZANLUN,Libro edito,,"Zangrandi, Ruggero",,,1962,Milano,Feltrinelli,"Storia,Fascismo",Venturati,Venturati,,
Memorie di un socialista 1905-1965,01.1.ZILMEM,Libro edito,,"Zilocchi, Carlo",,,1967,Milano,Del Gallo,"Biografico,Socialismo",Venturati,Venturati,,
Vita del carcere di Antonio Gramsci,01.1.ZUCVIT,Libro edito,,"Zucaro, Domenico",,,1954,Milano-Roma,Edizioni Avanti!,"Biografico,Comunismo,Storia",Venturati,Venturati,,
Dalla politica di unità nazionale alla elezione di Sandro Pertini,01.2.BALDAL,Libro autoprodotto,,"Balzamo, Vincenzo",,,1979,Milano,PSI,"Elettorale,Socialismo,Storia",Venturati,Venturati,,
La riforma autonomistica delle regioni e il progetto disgregatore delle leghe,01.2.BALRIF,Libro autoprodotto,,"Balzamo, Vincenzo",,,1990,Brescia,PSI,"Politica,Amministrazione,Giuridico",Venturati,Venturati,,
Il riformismo socialista in Italia e in Europa,01.2.BALRIF,Libro autoprodotto,,"Balzamo, Vincenzo",,,1989,Milano,PSI,"Politica,Socialismo,Esteri",Venturati,Venturati,,
Camillo Prampolini,01.2.BARCAM,Libro autoprodotto,,"Barazzoni, Renzo",,,1959,Reggio Emilia,Federazione reggiana del PSI,"Biografico,Socialismo",Venturati,Venturati,,
Chi è e cosa ha fatto Ivan Matteo Lombardo,01.2.BIACHI,Libro autoprodotto,,"Bianchi, Umeberto",,,1953,Milano,PSDI,"Elettorale,Socialismo,Politica",Venturati,Venturati,,
I vecchi socialisti prampoliniani,01.2.BOTVEC,Libro autoprodotto,,"Bottazzi, Bartolo",,,1945,Reggio Emilia,Federazione Prov. Socialista di Reggio Emilia,"Storia,Socialismo",Venturati,Venturati,,
Per un programma minimo socialista,01.2.CREPER,Libro autoprodotto,,CREA,,,1983,Milano,CREA,"Politica,Socialismo",Venturati,Venturati,,
50 anni di caricatura politica nell'opera di Giuseppe Scalarini,01.2.ENT50A,Libro autoprodotto,,Ente Provinciale del Turismo - Mantova,,,1965,Mantova,Ente Provinciale del Turismo - Mantova,Giornalismo,Venturati,Venturati,,
Umberto Mannini,01.2.LUIUMB,Libro autoprodotto,,Luigina Delli,,,1978,Calenzano,Comune di Calenzano,Biografico,Venturati,Venturati,,
Non per stato di necessità ma per scelta politica,01.2.NENNON,Libro autoprodotto,,"Nenni, Pietro",,,1970,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
L'iniziativa socialista per la Valsassina e la Valvarrone,01.2.PSILIN,Libro autoprodotto,,PSI lombardo,,,1967,Milano,CeSReL,"Politica,Socialismo",Venturati,Venturati,,
Note per una politica socialista,01.2.PSINOT.2,Libro autoprodotto,2,PSI,,,1976,Milano,PSI,"Periodici,Socialismo,Politica",Venturati,Venturati,,
Note per una politica socialista,01.2.PSINOT.7,Libro autoprodotto,7,PSI,,,1977,Milano,PSI,"Periodici,Socialismo,Politica",Venturati,Venturati,,
Note per una politica socialista,01.2.PSINOT.8,Libro autoprodotto,8,PSI,,,1977,Milano,PSI,"Periodici,Socialismo,Politica",Venturati,Venturati,,
Il partito socialista struttura e organizzazione,01.2.PSIPAR,Libro autoprodotto,,PSI,,,1975,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
PSI-PSDI Unificati. Statuto,01.2.PSIPSI,Libro autoprodotto,,PSI-PSDI,,,SD,Roma,PSI-PSDI Unificati,"Politica,Socialismo",Venturati,Venturati,,
Quaderni della sezione centrale di organizzazione. Documenti de dibattito di base,01.2.PSIQUA.2,Libro autoprodotto,2,PSI,,,1974,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
Quaderni della sezione centrale di organizzazione. Documenti de dibattito di base,01.2.PSIQUA.3,Libro autoprodotto,3,PSI,,,1974,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
Statuto del Partito Socialista Italiano,01.2.PSISTA,Libro autoprodotto,,PSI,,,1965,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
Statuto,01.2.PSISTA,Libro autoprodotto,,PSI,,,s.d.,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
Statuto del Partito Socialista Italiano,01.2.PSISTA,Libro autoprodotto,,PSI,,,s.d.,Roma,PSI,"Politica,Socialismo",Venturati,Venturati,,
Avanti con maggior vigore nella lotta per il centro-sinistra,01.2.SARAVA,Libro autoprodotto,,"Saragat, Giuseppe",,,1963,Roma,PSDI,"Politica,Socialismo",Venturati,Venturati,,
Le giornate della Liberazione,01.2.UFFGIO,Libro autoprodotto,,Ufficio Stampa Comune di Milano,,,1975,Milano,Ufficio Stampa Comune di Milano,"Storia,Resistenza",Venturati,Venturati,,
Il Mulino,01.3.AAVMUL.1,Periodici,1,AAVV,,,1984,Bologna,Il Mulino,"Periodici,Politica",Venturati,Venturati,,
Il Mulino,01.3.AAVMUL.2,Periodici,2,AAVV,,,1984,Bologna,Il Mulino,"Periodici,Politica",Venturati,Venturati,,
Il Mulino,01.3.AAVMUL.3,Periodici,3,AAVV,,,1984,Bologna,Il Mulino,"Periodici,Politica",Venturati,Venturati,,
Il Mulino,01.3.AAVMUL.4,Periodici,4,AAVV,,,1984,Bologna,Il Mulino,"Periodici,Politica",Venturati,Venturati,,
Nuova Rivista Internazionale,01.3.AAVNUO.5,Periodici,5,AAVV,,,1965,Roma,SGRA,"Periodici,Politica",Venturati,Venturati,,
Le ragioni politiche,01.3.AAVRAG.1,Periodici,1,AAVV,,,1967,Roma,Marsilio,"Periodici,Politica",Venturati,Venturati,,
Le ragioni politiche,01.3.AAVRAG.2-3,Periodici,2-3,AAVV,,,1967,Roma,Marsilio,"Periodici,Politica",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.17,Periodici,17,AAVV,,,1962,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.18,Periodici,18,AAVV,,,1963,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.19,Periodici,19,AAVV,,,1963,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.20,Periodici,20,AAVV,,,1963,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.21,Periodici,21,AAVV,,,1964,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.22,Periodici,22,AAVV,,,1964,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.23,Periodici,23,AAVV,,,1964,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.24,Periodici,24,AAVV,,,1965,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.27,Periodici,27,AAVV,,,1966,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.28,Periodici,28,AAVV,,,1966,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del socialismo,01.3.AAVRIV.29,Periodici,29,AAVV,,,1966,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Rivista storica del Socialismo. Il PSI e la grande guerra,01.3.AAVRIV.32,Periodici,32,AAVV,,,1967,Firenze,La Nuova Italia,"Periodici,Socialismo,Storia",Venturati,Venturati,,
Una sinistra per la DC. I fatti del Cile,01.3.AAVSIN.2-3,Periodici,2-3,AAVV,,,1973,Monza,Quaderni di dibattito politico,"Politica,Esteri,Democrazia Cristiana",Venturati,Venturati,,
Confronti,01.3.REGCON.2,Periodici,2,Regione Lombardia,,,1981,Milano,Regione Lombardia,"Periodici,Amministrazione",Venturati,Venturati,,
Confronti,01.3.REGCON.2,Periodici,2,Regione Lombardia,,,1981,Milano,Regione Lombardia,"Periodici,Amministrazione",Venturati,Venturati,,
Civitas,01.3.TAVCIV.6,Periodici,6,"Taviani, Paolo Emilio",,,1981,Milano,Edizioni Civitas,Periodici,Venturati,Venturati,,
Civitas,01.3.TAVCIV.7-8,Periodici,7-8,"Taviani, Paolo Emilio",,,1981,Milano,Edizioni Civitas,Periodici,Venturati,Venturati,,
Critica marxista,01.3.TORCRI.1-2,Periodici,1-2,"Tortorella, Aldo",,,1984,Roma,Editori Riuniti,"Periodici,Comunismo",Venturati,Venturati,,
Critica marxista,01.3.TORCRI.3,Periodici,3,"Tortorella, Aldo",,,1984,Roma,Editori Riuniti,"Periodici,Comunismo",Venturati,Venturati,,
Critica marxista,01.3.TORCRI.6,Periodici,6,"Tortorella, Aldo",,,1984,Roma,Editori Riuniti,"Periodici,Comunismo",Venturati,Venturati,,
Il Caffè. Problemi della socialdemocrazia,01.3.VICCAF,Periodici,,"Vicari, Gianbattista",,,1955,Milano,Il Caffé,"Periodici,Socialismo",Venturati,Venturati,,
Soluzioni concrete a problemi reali,01.5.OLCSOL,Materiale elettorale,,"Olcese, Vittorio",,,1983,Milano,PRI,"Elettorale,Socialismo",Venturati,Venturati,,
Ricerche di storia contemporanea bergamasca,01.6.AAVRIC,Studi e documentazione di ricerca,,AAVV,,,1970,Bergamo,ISREC,"Periodici,Resistenza,Storia",Venturati,Venturati,,
Ricerche di storia contemporanea bergamasca,01.6.AAVRIC.3-4,Studi e documentazione di ricerca,3-4,AAVV,,,1972,Bergamo,ISREC,"Storia,Resistenza,Periodici",Venturati,Venturati,,
Studi Storici,01.6.AAVSTU.3,Studi e documentazione di ricerca,3,AAVV,,,1963,Roma,Istituto Gramsci,"Periodici,Storia",Venturati,Venturati,,
In ricordo di Riccardo Bauer,01.6.ARDINR,Studi e documentazione di ricerca,,"Arduino, Mario","Ghezzi, Morris L.",,1982,Milano,CREA,Storia,Venturati,Venturati,,
L'economia sovietica nell'era di Breznev,01.6.BRELEC,Studi e documentazione di ricerca,,"Brera, Paolo",,,1977,Milano,Centro Mondolfo,"Economia,Comunismo,Esteri",Venturati,Venturati,,
I movimenti pacifisti: dalle marce all'analisi agli slognas,01.6.CREMOV,Studi e documentazione di ricerca,,CREA,,,1981,MIlano,CREA,"Politica,Esteri",Venturati,Venturati,,
Rapporto sul Medio Oriente: Israele e gli stati arabi,01.6.DARRAP,Studi e documentazione di ricerca,,"Da Rold, Gianluigi","Sodano, Pier Giulio",,1970,Milano,Associazione Sionistica Italiana,"Storia,Esteri",Venturati,Venturati,,
Primo rapporto sull'inchiesta di massa sul terrorismo,01.6.SEZPRI,Studi e documentazione di ricerca,,Sezione Problemi dello Stato,,,1982,Roma,Politica ed Economia,"Inchiesta,Terrorismo",Venturati,Venturati,,
Per un trattato di pace con la Germania per scongiurare i pericoli di guerra,01.6.SINPER,Studi e documentazione di ricerca,,Sindacati e Lavoratori d'Europa,,,1959,Görlitz-Zgorzelec,Conferenza dei Sindacati e dei Lavoratori d'Europa,"Politica,Esteri",Venturati,Venturati,,
Diverbio ai seggi fra Giuseppe Pisoni (PCI) e Sen. Angelo Castelli (DC),05.8.PISDIV,Fotografia,,"Pisoni, Giuseppe",,,1976,Caravaggio,,"Politica,Caravaggio,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISDIV.jpeg
Festa de L'Unità di Caravaggio,05.8.PISFES.1,Fotografia,1,"Pisoni, Giuseppe",,,s.d.,Caravaggio,,"Politica,Comunismo,Caravaggio,Festa de L'Unità",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISFES.1.jpeg
Festa de L'Unità di Caravaggio,05.8.PISFES.2,Fotografia,2,"Pisoni, Giuseppe",,,s.d.,Caravaggio,,"Politica,Caravaggio,Comunismo,Festa de L'Unità",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISFES.2.jpeg
Festa de L'Unità di Caravaggio,05.8.PISFES.3,Fotografia,3,"Pisoni, Giuseppe",,,s.d.,Caravaggio,,"Caravaggio,Festa de L'Unità,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISFES.3.jpeg
Manifesti elettorali a Caravaggio,05.8.PISMAN,Fotografia,,"Pisoni, Giuseppe",,,1976,Caravaggio,,"Caravaggio,Comunismo,Politica",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISMAN.jpeg
Sen. Angelo Castelli ai seggi elettorali,05.8.PISSEN,Fotografia,,"Pisoni, Giuseppe",,,1976,Caravaggio,,"Caravaggio,Politica",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISSEN.jpeg
Volontari del PCI di Caravaggio ristrutturano la Casa del Popolo,05.8.PISVOL.1,Fotografia,1,"Pisoni, Giuseppe",,,197?,Caravaggio,,"Caravaggio,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISVOL.1.jpeg
Volontari del PCI di Caravaggio ristrutturano la Casa del Popolo,05.8.PISVOL.2,Fotografia,2,"Pisoni, Giuseppe",,,197?,Caravaggio,,"Caravaggio,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISVOL.2.jpeg
Volontari del PCI di Caravaggio ristrutturano la Casa del Popolo,05.8.PISVOL.3,Fotografia,3,"Pisoni, Giuseppe",,,197?,Caravaggio,,"Caravaggio,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.PISVOL.3.jpeg
Candidati nella lista del PCI del 1976,05.8.SCOCAN,Fotografia,,Sconosciuto,,,1976,Caravaggio,,"Caravaggio,Politica,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.SCOCAN.jpeg
Giuseppe Pisoni durante i lavori di ristrutturazione della Casa del Popolo,05.8.SCOGIU,Fotografia,,Sconosciuto,,,s.d.,Caravaggio,,"Caravaggio,Comunismo",Crapabela,Crapabela,,images/PCI/Crapabela/05.8.SCOGIU.jpeg
Voltare pagina,A01.1.SOFVOL,Libro edito,,"Sofri, Gianni",,,1979,Torino,Stampatori,Storia,Gallavresi,Gallavresi,,
Il Panettiere Partigiano,A04.2.GATPAN,Libro autoprodotto,,"Gatti, Mirko",,,2023,Caravaggio,AFU Caravaggio,"Storia,Resistenza,Caravaggio",Stella,Stella,pdf/stella/03.2.GATPAN.pdf,
Busto di Emilio Gallavresi,A01.9.BEGSCO,Sculture,,Sconosciuto,,,s.d.,Caravaggio,,"Caravaggio,Socialismo",Gallavresi,Gallavresi,,images/gallavresi/A01.9.BEGSCO.jpeg
Candidato nella lista La Tua Caravaggio,A02.8.SCOCAN.1,Fotografia,1,Sconosciuto,,,2011,Caravaggio,,"Politica,Caravaggio",PD Caravaggio,PD Caravaggio,,images/PDCaravaggio/A02.8.SCOCAN.1.jpeg
Evento di campagna elettorale Ambrosini Sindaca 2011,A02.8.SCOEVE.1,Fotografia,1,Sconosciuto,,,2011,Caravaggio,,"Politica,Caravaggio",PD Caravaggio,PD Caravaggio,,images/PDCaravaggio/images/PDCaravaggio/A02.8.SCOEVE.1.jpeg
Evento di campagna elettorale Ambrosini Sindaca 2011,A02.8.SCOEVE.2,Fotografia,2,Sconosciuto,,,2011,Caravaggio,,"Politica,Caravaggio",PD Caravaggio,PD Caravaggio,,images/PDCaravaggio/images/PDCaravaggio/A02.8.SCOEVE.2.jpeg
