Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Autogestione e problemi della transizione;01.1.AAVAUT;Libro edito;;AAVV;;;1975;Venezia-Padova;Marsilio editori;Politica,Socialismo;Venturati;Venturati;;;
La bibbia delle famiglie;01.1.AAVBIB;Libro edito;;AAVV;;;1961;Roma;Edizioni Paoline;Religione;Venturati;Venturati;;;
Cinquant'anni di Concordato;01.1.AAVCIN;Libro edito;;AAVV;;;1979;Firenze ;La Nuova Italia;Politica,Chiesa;Venturati;Venturati;;;
Crisi della DC e alternativa socialista;01.1.AAVCRI;Libro edito;;AAVV;;;1975;Venezia-Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Dall'origine della terra all'homo sapiens;01.1.AAVDAL;Libro edito;;AAVV;;;1958;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
La Ginnastica Intellettuale. Esercizi e consigli pratici per sviluppare l’intelligenza ;01.1.AAVGIN;Libro edito;;AAVV;;;1922;Milano ;Istituito Hermes Editore;Educazione;Venturati;Venturati;;;
L’arte di parlare in Pubblico. Come si impara a improvvisare un discorso ;01.1.AAVLARI;Libro edito;;AAVV;;;1928;Milano ;Istituto Hermes Editore;Educazione;Venturati;Venturati;;;
L’arte di ragionare. Come si impara a ragionare e giudicare colla propria testa ;01.1.AAVLARR;Libro edito;;AAVV;;;1928;Milano ;Istituto Hermes Editore;Educazione,Filosofia;Venturati;Venturati;;;
Lenin teorico e dirigente rivoluzionario;01.1.AAVLEN;Libro edito;;AAVV;;;1970;Roma;Critica Marxista;Politica,Comunismo,Biografico;Venturati;Venturati;;;
Manifestazione nazionale per la riforma agraria;01.1.AAVMAN;Libro edito;;AAVV;;;1961;Roma ;Stabilimento tipografico G.A.T.E;Politica;Venturati;Venturati;;;
Morte di un generale;01.1.AAVMOR;Libro edito;;AAVV;;;1982;Milano;Mondadori;Inchiesta,Politica;Venturati;Venturati;;;
Parlamento Istituzioni Democrazia. Seminario di studio;01.1.AAVPAR;Libro edito;;AAVV;;;1980;Milano;Giuffrè;Politica,Amministrazione,Giuridico;Venturati;Venturati;;;
programmazione e mezzogiorno;01.1.AAVPRO;Libro edito;;AAVV;;;1966;Roma;Mondoperaio;Politica,Socialismo;Venturati;Venturati;;;
La scelta della professione;01.1.AAVSCE;Libro edito;;AAVV;;;1978;Milano;Giuffrè;Educazione;Venturati;Venturati;;;
Il socialismo dal basso;01.1.AAVSOB;Libro edito;;AAVV;;;1976;Venezia;Marsilio editori;Politica,Socialismo;Venturati;Venturati;;;
I socialisti e la cultura;01.1.AAVSOC;Libro edito;;AAVV;;;1976;Venezia-Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.1;Libro edito;1;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.2;Libro edito;2;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Storia del Partito Socialista Italiano;01.1.AAVSTO.3;Libro edito;3;AAVV;;;1980;Padova;Marsilio Editori;Storia,Socialismo;Venturati;Venturati;;;
Togliatti nella storia d'Italia;01.1.AAVTOG;Libro edito;;AAVV;;;1984;Roma;Editori Riuniti;Storia,Biografico,Comunismo;Venturati;Venturati;;;
Turati giovane;01.1.AAVTUR;Libro edito;;AAVV;;;1962;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Un'esperienza riformista;01.1.AAVUNE;Libro edito;;AAVV;;;1983;Milano;CREA;Amministrazione,Politica;Venturati;Venturati;;;
La filosofia di Benedetto Croce e la crisi della società italiana;01.1.ABBFIL;Libro edito;;Abbate, Michele;;;1955;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Cittadini in uniforme;01.1.ACCCIT;Libro edito;;Accame, Falco;;;1976;Cosenza;Lerici;Politica,Amministrazione;Venturati;Venturati;;;
Fiat confino;01.1.ACCFIA;Libro edito;;Accornero, Aris;;;1959;Milano ;Edizioni Avanti!;Storia,Economia,Politica;Venturati;Venturati;;;
Socialismo tricolore;01.1.ACCSOC;Libro edito;;Accame, Giano;;;1983;Milano;Editoriale Nuova;Politica,Socialismo;Venturati;Venturati;;;
Discorsi di Enrico De Nicola, Enrico Altavilla,  Enrico Gonzales. Scritti di Collino Pansa, Giuseppe Polillo;01.1.AFIDIS;Libro edito;;Associazione Forense Italiana;;;1956;Milano;Giuffrè;Politica;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.1;Libro edito;1;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.2;Libro edito;2;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.3;Libro edito;3;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Una crociata per la giustizia;01.1.ALBCRO;Libro edito;;Albanese, Angelo;;;1980;Roma;La Piramide;Politica,Giuridico;Venturati;Venturati;;;
Il problema storico dell'arretratezza economica;01.1.ALEPRO;Libro edito;;Alexander Gerschenkron;;;1965;Torino;Einaudi;Politica,Storia,Economia;Venturati;Venturati;;;
Poesie e canti della resistenza palestinese;01.1.ALFPOE;Libro edito;;Al Fat'h;;;1972;Milano;Edizioni movimento studentesco;Politica,Resistenza,Comunismo,Socialismo;Venturati;Venturati;;;
Venti lettere a un amico;01.1.ALLVEN;Libro edito;;Alliluieva, Svetlana;;;1967;Milano;Mondadori;Biografico,Comunismo;Venturati;Venturati;;;
Fascismo. Inchiesta socialista sulle gesta dei fascisti in Italia;01.1.AMBFAS;Libro edito;;Ambrosoli, Luigi;;;1963;Milano;Edizioni Avanti!;Inchiesta,Fascismo;Venturati;Venturati;;;
Né aderire né sabotare 1915-1918;01.1.AMBNÉA;Libro edito;;Ambrosoli, Luigi;;;1961;Milano;Edizioni Avanti!;Storia,Grande Guerra;Venturati;Venturati;;;
Fascismo e movimento operaio;01.1.AMEFAS;Libro edito;;Amendola, Giorgio;;;1975;Roma;Editori Riuniti;Storia,Fascismo,Operaismo,Comunismo;Venturati;Venturati;;;
Una scelta di vita;01.1.AMESCE;Libro edito;;Amendola, Giorgio;;;1976;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Tra passione e ragione;01.1.AMETRA;Libro edito;;Amendola, Giorgio;;;1982;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Un'isola;01.1.AMEUNI;Libro edito;;Amendola, Giorgio;;;1980;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Rosa Luxemburg. Scritti scelti;01.1.AMOROS;Libro edito;;Amodio, Luciano;;;1963;Milano;Edizioni Avanti!;Politica,Socialismo,Filosofia politica;Venturati;Venturati;;;
L'africa e la comunità economica europea;01.1.ANDILAF;Libro edito;;Andreis, Mario;;;1967;Torino;Einaudi;Economia,Esteri;Venturati;Venturati;;;
Trent'anni di storia italiana (1915-1945);01.1.ANTTRE;Libro edito;;Antonicelli, Franco;;;1961;Torino;Einaudi;Storia,Fascismo,Resistenza;Venturati;Venturati;;;
Mondo Operaio 1956-1965;01.1.ARFMON.1;Libro edito;1;Arfé, Gaetano;;;1974;Firenze;Landi;Politica,Socialismo;Venturati;Venturati;;;
Mondo Operaio 1956-1965;01.1.ARFMON.2;Libro edito;2;Arfé. Gaetano;;;1974;Firenze;Landi;Politica,Socialismo;Venturati;Venturati;;;
Storia dell'Avanti! 1896-1926;01.1.ARFSTO.I;Libro edito;I;Arfé, Gaetano;;;1956;Milano-Roma;Edizioni Avanti!;Storia,Socialismo;Venturati;Venturati;;;
Storia dell'Avanti! 1926-1940;01.1.ARFSTO.II;Libro edito;II;Arfé, Gaetano;;;1958;Milano-Roma;Edizioni Avanti!;Storia,Socialismo;Venturati;Venturati;;;
Stato e chiesa in Polonia;01.1.ARPSTA;Libro edito;;Associazione italiana per i rapporti culturali con la Polonia;;;1959;Roma;Conoscersi;Politica,Chiesa,Esteri;Venturati;Venturati;;;
Il dramma di Graziani nelle arringhe della difesa;01.1.AUGDRA;Libro edito;;Augenti, G.P.;Mastino del Rio, G.;Carnelutti, F.;1950;Bologna;Zuffi Editore;Storia,Biografico;Venturati;Venturati;;;
Blasco. La riabilitazione di un militante rivoluzionario;01.1.AZZBLA;Libro edito;;Azzaroni, Alfredo;;;1962;Milano;Azione Comune;Biografico,Comunismo,Resistenza;Venturati;Venturati;;;
La vita spiegata ai miei figli;01.1.BACVIT;Libro edito;;Bacus-Lindroth, Anne;;;1999;Milano;Bompiani;Educazione;Venturati;Venturati;;;
Aritmetica pratica per le scuole medie inferiori;01.1.BAFARI;Libro edito;;Baffi, Contardo;;;1934;Torino;Paravia;Educazione;Venturati;Venturati;;;
Stato e Anarchia e altri scritti;01.1.BAKSTA;Libro edito;;Bakunin, Michail A.;;;1968;Milano;Feltrinelli;Politica,Anarchismo;Venturati;Venturati;;;
Costituzione e organi dello stato;01.1.BALCOS;Libro edito;;Balzamo, Vincenzo;Prosperi, Franco;;1977;Roma;Napoleone;Giuridico;Venturati;Venturati;;;
Diritti civili e libertà democratiche;01.1.BALDIR;Libro edito;;Balzamo, Vincenzo ;;;1975;Padova;Marsilio Editori;Giuridico;Venturati;Venturati;;;
Diritti civili e libertà democratiche;01.1.BALDIRbis;Libro edito;;Balzamo, Vincenzo;;;1975;Padova;Marsilio Editori;Politica,Giuridico;Venturati;Venturati;;;
Ordine pubblico e sicurezza democratica;01.1.BALORD;Libro edito;;Balzamo, Vincenzo;;;1976;Firenze;La Nuova Italia;Politica,Amministrazione,Giuridico;Venturati;Venturati;;;
Il capitale monopolistico;01.1.BARCAP;Libro edito;;Baranz Paul;Sweezy Paul;;1968;Torino;Einaudi;Economia,Politica,Amministrazione;Venturati;Venturati;;;
Mancini;01.1.BARMAC;Libro edito;;Barrese, Orazio;;;1976;Milano;Feltrinelli;Politica,Socialismo;Venturati;Venturati;;;
Problemi di socialismo;01.1.BASPRO;Libro edito;;Basso, Lelio;;;1972;Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Socialisti e cattolici al bivio;01.1.BASSOC;Libro edito;;Basso, Lelio;;;1961;Manduria-Bari-Perugia;Lacaita;Politica,Socialismo,Democrazia Cristiana;Venturati;Venturati;;;
Un popolo in lotta;01.1.BATPOP;Libro edito;;Battaglia, R.;Ramat, R.;;1961;Firenze;La Nuova Italia;Storia;Venturati;Venturati;;;
Il Partito Socialista dalla Resistenza ad oggi;01.1.BENPAR;Libro edito;;Benzoni, Alberto;;;1980;Padova;Marsilio Editori;Storia,Socialismo,Resistenza;Venturati;Venturati;;;
La repressione sovietica in Ungheria;01.1.BERREP;Libro edito;;Berke, A.A.;;;1957;Milano;Mondadori;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Ateo a 18 anni?;01.1.BETATE;Libro edito;;Bettazzi Luigi;;;1982;Milano ;Rizzoli;Religione;Venturati;Venturati;;;
Il comunismo europeo;01.1.BETCOM;Libro edito;;Bettiza, Enzo;;;1978;Milano;Rizzoli;Politica,Comunismo,Esteri;Venturati;Venturati;;;
Lenin;01.1.BEYLEN;Libro edito;;Bey, Essad;;;1938;Milano;Treves;Biografico,Comunismo,Storia,Politica,Filosofia politica;Venturati;Venturati;;;
Come andremo a incominciare;01.1.BIACOM;Libro edito;;Biagi, Enzo ;Scalfari, Eugenio;;1981;Milano;Rizzoli;Politica,Giornalismo;Venturati;Venturati;;;
Carlone. Vita di un italiano;01.1.BIGCAR;Libro edito;;Bigiaretti, Libero;;;1956;Milano-Roma;Edizioni Avanti!;Narrativa;Venturati;Venturati;;;
Pertini racconta;01.1.BISPER;Libro edito;;Bisiach, Gianni;;;1983;Milano;Mondadori;Biografico,Socialismo;Venturati;Venturati;;;
Pertini racconta;01.1.BISPERbis;Libro edito;;Bisiach, Gianni;;;1983;Milano;Mondadori;Politica,Socialismo,Storia,Resistenza;Venturati;Venturati;;;
Dizionario di politica;01.1.BOBDIZ;Libro edito;;Bobbio, Norberto;Matteucci, Nicola;;1976;Torino;UTET;Politica;Venturati;Venturati;;;
Il marxismo e lo Stato;01.1.BOBMAR;Libro edito;;Bobbio, Norberto;Alia;;1976;Roma;Mondoperaio;Politica,Comunismo;Venturati;Venturati;;;
Il marxismo e lo Stato;01.1.BOBMARbis;Libro edito;;Bobbio, Norberto;;;1976;Milano;Mondoperaio;Politica,Comunismo;Venturati;Venturati;;;
L'Italia è Malata;01.1.BOCLIT;Libro edito;;Bocca, Giorgio;;;1977;Roma;L'Espresso;Inchiesta,Politica;Venturati;Venturati;;;
Miracolo all'italiana;01.1.BOCMIR;Libro edito;;Bocca, Giorgio;;;1962;Milano;Edizioni Avanti!;Inchiesta,Politica,Storia;Venturati;Venturati;;;
Mussolini socialfascista;01.1.BOCMUS;Libro edito;;Bocca, Giorgio;;;1983;Milano;Garzanti;Storia,Fascismo;Venturati;Venturati;;;
Palmiro Togliatti;01.1.BOCPAL;Libro edito;;Bocca, Giorgio;;;1973;Roma-Bari;Laterza;Biografico,Storia,Comunismo;Venturati;Venturati;;;
Storia della Repubblica Italiana;01.1.BOCSTO;Libro edito;;Bocca, Giorgio;;;1982;Milano;Rizzoli;Storia;Venturati;Venturati;;;
Il terrorismo italiano 1970-1978;01.1.BOCTER;Libro edito;;Bocca, Giorgio;;;1978;Milano;Rizzoli;Inchiesta,Terrorismo;Venturati;Venturati;;;
Storia delle dottrine politiche. L'assolutismo europeo;01.1.BOISTO.1;Libro edito;1;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. Rivoluzione e restauro 1781-1820;01.1.BOISTO.2;Libro edito;2;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. L'età liberale 1821-1871;01.1.BOISTO.3;Libro edito;3;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. L'età contemporanea 1872-1945;01.1.BOISTO.4;Libro edito;4;Boiardi, Franco;;;1980;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. Colonialismo e imperialismo 1575-1945;01.1.BOISTO.5;Libro edito;5;Boiardi, Franco;;;1982;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Le battaglie politico-ideologiche;01.1.BONBAT;Libro edito;;Bonetti, Paolo;;;1978;Milano;Il Mondo;Politica;Venturati;Venturati;;;
Le battaglie economiche;01.1.BONBATbis;Libro edito;;Bonetti, Paolo;;;1978;Milano;Il Mondo;Economia,Politica;Venturati;Venturati;;;
La cancrena;01.1.BOUCAN;Libro edito;;Boumaza, Bechir;Francis, Mustapha;;1959;Torino;Einaudi;Inchiesta,Esteri;Venturati;Venturati;;;
La politica di un socialista;01.1.BRANPOL;Libro edito;;Brandt, Willy;;;1979;Milano;Garzanti;Biografico,Socialismo;Venturati;Venturati;;;
Marx e Engels;01.1.BRAVMAR;Libro edito;;Bravo, Gian Maria;;;1962;Milano;Edizioni Avanti!;Politica,Filosofia politica,Socialismo,Comunismo;Venturati;Venturati;;;
Marx a Londra. La vita quotidiana negli anni dell'esilio;01.1.BRIMAR;Libro edito;;Briggs, Asa;;;1982;Roma;Rinascita;Biografico,Filosofia politica,Comunismo,Socialismo;Venturati;Venturati;;;
La programmazione in Italia;01.1.BRIPRO;Libro edito;;Brigida, Franco;;;1968;Padova;Marsilio Editori;Inchiesta,Amministrazione,Politica;Venturati;Venturati;;;
Socialismo libertario;01.1.CAFSOC;Libro edito;;Caffi, Andrea;;;1964;Milano;Azione Comune;Politica,Socialismo;Venturati;Venturati;;;
Calamandrei;01.1.CALACAL.1;Libro edito;1;Calamandrei, Piero;Enriques Agnoletti, Enzo;;1958;Firenze;La Nuova Italia;Biografico,Politica;Venturati;Venturati;;;
La casa di campagna;01.1.CALACAS;Libro edito;;Calamandrei, Piero;;;1965;Firenze;La Nuova Italia;Biografico;Venturati;Venturati;;;
La Costituzione Italiana;01.1.CALACOS;Libro edito;;Calamandrei, Piero;;;1956;Milano-Roma;Edizioni Avanti!;Giuridico;Venturati;Venturati;;;
Lettere 1915-1956 ;01.1.CALALET.1;Libro edito;1;Calamandrei, Piero;;;1968;Firenze;La nuova Italia;Resistenza,Politica;Venturati;Venturati;;;
Lettere 1915-1956;01.1.CALALET.2;Libro edito;2;Calamandrei, Pietro;;;1968;Firenze;La Nuova Italia;Resistenza,Politica;Venturati;Venturati;;;
Scritti e discorsi politici. Storia di dodici anni;01.1.CALASCR.1.1;Libro edito;1.1;Calamandrei, Pietro;;;1966;Firenze;La Nuova Italia;Politica,Resistenza;Venturati;Venturati;;;
Scritti e discorsi politici. Storia di dodici anni;01.1.CALASCR.1.2;Libro edito;1.2;Calamandrei, Pietro;;;1966;Firenze;La Nuova Italia;Politica,Resistenza;Venturati;Venturati;;;
Scritti e discorsi politici. Discorsi parlamentari e politica costituzionale;01.1.CALASCR.2;Libro edito;2;Calamandrei;;;1966;Firenze;La Nuova Italia;Politica;Venturati;Venturati;;;
I nodi della pace;01.1.CALCNOD;Libro edito;;Calchi-Novati, Gianpaolo;;;1968;Padova;Marsilio Editori;Politica,Esteri;Venturati;Venturati;;;
Si fa presto a dire fame ;01.1.CALESIF;Libro edito;;Caleffi, Pietro ;;;1960;Novara ;Il Gallo;Politica,Biografico,Resistenza,Socialismo;Venturati;Venturati;;;
Lo sviluppo italiano nel Dopoguerra;01.1.CAPESVI;Libro edito;;Caperdoni, Enrico;;;1968;Padova;Marsilio Editori;Storia,Economia;Venturati;Venturati;;;
Atti della Costituente sull'Art. 7;01.1.CAPIATT;Libro edito;;Capitini, Aldo;Lacaita, Piero;;1959;Perugia;Lacaita;Giuridico;Venturati;Venturati;;;
La libertà religiosa in Italia;01.1.CAPILIB;Libro edito;;Capitini, Aldo;Magni, Cesare;Borghi, Lamberto;1956;Firenze;La Nuova Italia;Politica,Religione;Venturati;Venturati;;;
Spesa pubblica e iniziativa imprenditoriale;01.1.CARASPE;Libro edito;;Carabba, Manin;;;1966;Torino;Einaudi;Economia,Amministrazione;Venturati;Venturati;;;
Manzoni. Ideologia e stile;01.1.CAREMAN;Libro edito;;Caretti, Lanfranco;;;1974;Torino;Einaudi;Letteratura;Venturati;Venturati;;;
Il sole sorge a ponente;01.1.CARISOL;Libro edito;;Carini, Lisli;;;1959;Milano;Edizioni Avanti!;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Storia della resistenza;01.1.CARLSTO;Libro edito;;Carli-Bellola, Renato;;;1957;Milano-Roma;Edizioni Avanti!;Storia,Resistenza;Venturati;Venturati;;;
Giolitti e l'età giolittiana;01.1.CAROGIO;Libro edito;;Carocci, Giampiero;;;1961;Torino;Einaudi;Storia;Venturati;Venturati;;;
Bruno Buozzi;01.1.CASBRU;Libro edito;;Castagno, Gino;;;1955;Milano-Roma;Edizioni Avanti!;Biografico,Socialismo,Resistenza;Venturati;Venturati;;;
Filippo Turati;01.1.CATFIL;Libro edito;;Catalano, Franco;;;1957;Milano-Roma;Edizioni Avanti!;Biografico,Socialismo;Venturati;Venturati;;;
La Russia contro Kruscev;01.1.CAVRUS;Libro edito;;Cavallari, Alberto;;;1964;Firenze;Vallecchi;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Trattato che istituisce la Comunità Europea;01.1.CEETRA;Libro edito;;CEE;;;1957;Bruxelles;Segretariato del Comitato Centrale per il Mercato Comune e l'Euroatom;Giuridico,Esteri;Venturati;Venturati;;;
L'Italia contemporanea (1918-1948);01.1.CHALIT;Libro edito;;Chabod, Federico;;;1961;Torino;Einaudi;Storia,Fascismo,Resistenza;Venturati;Venturati;;;
Perché il Vietnam esiste;01.1.CHEPER;Libro edito;;Chesneaux, Jean;;;1968;Torino;Einaudi;Storia,Esteri;Venturati;Venturati;;;
Il sistema sovietico tra Stalin e Breznev;01.1.COESIS;Libro edito;;Coen, Federico;;;1974;Roma;Mondoperaio;Inchiesta,Comunismo,Esteri,Politica;Venturati;Venturati;;;
Il sistema sovietico fra Stalin e Breznev;01.1.COESISbis;Libro edito;;Coen, Federico;;;1974;Roma;Mondoperaio;Politica,Comunismo,Esteri,Inchiesta;Venturati;Venturati;;;
Classe operaia e ceti medi;01.1.COLACLA;Libro edito;;Colarizi, Simona;;;1976;Padova;Marsilio Editori;Storia,Socialismo,Economia,Comunismo;Venturati;Venturati;;;
Classe operaia e ceti medi;01.1.COLACLAbis;Libro edito;;Colarizi, Simona;;;1980;Padova;Marsilio Editori;Storia,Socialismo,Economia,Comunismo;Venturati;Venturati;;;
La Cina rivoluzionaria;01.1.COLLCIN;Libro edito;;Collotti Pischel, Enrica;;;1965;Torino;Einaudi;Politica,Comunismo,Esteri;Venturati;Venturati;;;
Le origini ideologiche della rivoluzione cinese;01.1.COLLORI;Libro edito;;Collotti Pischel, Enrica;;;1958;Torino;Einaudi;Politica,Comunismo,Esteri;Venturati;Venturati;;;
