Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
La Confederazione Generale del Lavoro. Negli atti, nei documenti, nei congressi 1906-1926;01.1.MARCHLCON;Libro edito;;Marchetti, Luciana;;;1962;Milano;Edizioni Avanti!;Politica,Operaismo;Venturati;Venturati;;;
Socialismo;01.1.MARCSOC;Libro edito;;Marchetti, Mario;;;s.d.;Roma-Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Eros e civiltà;01.1.MARCUERO;Libro edito;;Marcuse, Herbert;;;1964;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
L'uomo a una dimensione;01.1.MARCULUO;Libro edito;;Marcuse, Herbert;;;1968;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Guerra popolare e rivoluzione in Jugoslavia;01.1.MARJGUE;Libro edito;;Marjanovic, Jovan;;;1962;Milano;Edizioni Avanti!;Storia,Esteri;Venturati;Venturati;;;
La conquista dei poteri;01.1.MARTECON;Libro edito;;Martinet, Gilles;;;1976;Padova;Marsilio Editori;Politica;Venturati;Venturati;;;
Il marxismo oggi ;01.1.MARTEMAR;Libro edito;;Martinet, Jean-Paul;;;1962;Firenze;La nuova Italia ;Politica,Socialismo,Comunismo;Venturati;Venturati;;;
I giorni sono lunghi;01.1.MARTIGIO;Libro edito;;Martini, Quinto;;;1957;Milano-Roma;Edizioni Avanti!;Narrativa;Venturati;Venturati;;;
Contro l'anarchismo;01.1.MARXCONT;Libro edito;;Marx, Karl;Engels, Friedrich;;1950;Roma ;Edizioni Rinascita;Politica,Storia,Filosofia;Venturati;Venturati;;;
La concezione materialistica della storia;01.1.MARXCONC;Libro edito;;Marx, Karl;Engels, Friedrich;;1959;Roma;Editori Riuniti;Filosofia;Venturati;Venturati;;;
Critica della Economia Politica ;01.1.MARXCRI;Libro edito;;Marx, Karl;;;1947;Milano ;Istituto Editoriale Italiano ;Politica,Economia,Comunismo;Venturati;Venturati;;;
Ieri e Oggi;01.1.MARXIER;Libro edito;;Marx, Karl;;;1961;Milano;Feltrinelli ;Politica,Storia,Comunismo;Venturati;Venturati;;;
Lavoro salariato e capitale;01.1.MARXLAV;Libro edito;;Marx, Karl;;;1945;Roma;L'Unità;Politica,Filosofia politica;Venturati;Venturati;;;
Lettere a Kugelmann;01.1.MARXLET;Libro edito;;Marx, Karl;;;1950;Roma;Edizioni Rinascita ;Politica,Comunismo;Venturati;Venturati;;;
L’ideologia tedesca ;01.1.MARXLID;Libro edito;;Marx, Karl;;;1947;Milano ;Istituto Editoriale Italiano ;Politica,Filosofia politica,Comunismo;Venturati;Venturati;;;
Storia delle teorie economiche ;01.1.MARXSTO.1;Libro edito;1;Marx, Karl;;;1954;Torino;Einaudi;Politica,Filosofia,Storia,Comunismo;Venturati;Venturati;;;
Storia delle dottrine economiche. David Ricardo;01.1.MARXSTO.2;Libro edito;2;Marx, Karl;;;1955;Torino;Einaudi;Politica,Economia,Storia;Venturati;Venturati;;;
Storia delle teorie economiche ;01.1.MARXSTO.3;Libro edito;3;Marx, Karl;;;1958;Torino;Einaudi;Politica,Storia,Comunismo;Venturati;Venturati;;;
Umanismo;01.1.MARXUMA;Libro edito;;Marx, Karl;;;1968;Torino ;Einaudi;Politica,Comunismo,Filosofia;Venturati;Venturati;;;
Discorsi politici celebri;01.1.MASEDIS;Libro edito;;Masera, Carlo;;;1960;Milano;Nuova Accademia;Politica,Storia;Venturati;Venturati;;;
La contestazione cinese;01.1.MASICON;Libro edito;;Masi, Edoarda;;;1968;Torino;Einaudi;Comunismo,Inchiesta;Venturati;Venturati;;;
Gli internazionalisti. La Banda del Matese (1876-1878);01.1.MASINNT;Libro edito;;Masini, Pier Carlo;;;1958;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Storia degli anarchici italiani da Bakunin a Malatesta;01.1.MASINSTO;Libro edito;;Masini, Pier Carlo;;;1969;Milano;Rizzoli;Storia,Anarchismo;Venturati;Venturati;;;
Capitalismo e comunismo;01.1.MATCCAP;Libro edito;;Matteotti, Carlo;;;s.d.;Roma;Opere Nuove;Politica,Comunismo;Venturati;Venturati;;;
Contro il fascismo;01.1.MATGCON;Libro edito;;Matteotti, Giacomo;;;1954;Milano-Roma;Edizioni Avanti!;Politica,Fascismo;Venturati;Venturati;;;
Il Cittadino Scalfari;01.1.MAUCIT;Libro edito;;Mauri, Claudio;;;1983;Milano;SugarCo Edizioni;Biografico,Giornalismo;Venturati;Venturati;;;
La riforma agraria ;01.1.MAZRIF;Libro edito;;Mazzoni Nino ;;;s.d.;Roma ;Società editrice Avanti!;Storia,Politica,Socialismo;Venturati;Venturati;;;
Vita di Marx;01.1.MEHVIT;Libro edito;;Mehring, Franz;;;1972;Roma;Editori Riuniti;Biografico,Filosofia;Venturati;Venturati;;;
Cosmopolitismo e Stato Nazionale;01.1.MEICOS.1;Libro edito;1;Meinecke, Federico;;;1930;Perugia - Venezia;La Nuova Italia;Politica,Storia;Venturati;Venturati;;;
Cosmopolitismo e Stato Nazionale;01.1.MEICOS.2;Libro edito;2;Meinecke, Federico;;;1930;Perugia - Venezia;La Nuova Italia;Politica,Storia;Venturati;Venturati;;;
Preparare l'avvenire;01.1.MENDPRE;Libro edito;;Mendès France, Pierre;;;1968;Milano;Etas Kompass;Politica;Venturati;Venturati;;;
La repubblica moderna;01.1.MENDREP;Libro edito;;Mendés France, Pierre;;;1963;Torino;Einaudi;Politica;Venturati;Venturati;;;
La partigiana nuda;01.1.MENEPAR;Libro edito;;Meneghetti, Egidio;;;1958;Milano-Roma;Edizioni Avanti!;Poesia,Resistenza;Venturati;Venturati;;;
Uomini,  animali e ancora uomini;01.1.MENEUOM;Libro edito;;Meneghetti, Egidio;;;1961;Milano;Edizioni Avanti!;Filosofia;Venturati;Venturati;;;
Lettere dalle case chiuse;01.1.MERLET;Libro edito;;Merlin, Lina;Barberis, Carla;;1955;Milano-Roma;Edizioni Avanti!;Politica;Venturati;Venturati;;;
La clericalizzazione dello Stato;01.1.MEZCLE;Libro edito;;Mezza, Maria Vittoria;;;1958;Milano-Roma;Edizioni Avanti!;Politica,Chiesa,Inchiesta;Venturati;Venturati;;;
Sindacati, progresso tecnico, programmazione economica;01.1.MOMSIN;Libro edito;;Momigliano, Franco;;;1966;Torino;Einaudi;Economia;Venturati;Venturati;;;
Studi sulla rivoluzione russa;01.1.MONLRSTU;Libro edito;;Mondolfo, Rodolfo;;;1968;Napoli;Morano;Storia,Esteri,Comunismo;Venturati;Venturati;;;
Problemi di cultura e dignità nazionale;01.1.MONLUPRO;Libro edito;;Mondolfo, Ugo Guido;;;1951;Roma;Opere Nuove;Socialismo,Politica;Venturati;Venturati;;;
Jugoslavia oggi;01.1.MONPJUG;Libro edito;;Mondoperaio;;;1965;Milano;Mondoperaio;Politica,Esteri;Venturati;Venturati;;;
Comunità e società industriale;01.1.MORAFCOM;Libro edito;;Morandi, Franco;;;1964;Milano;Comunità nuova;Politica;Venturati;Venturati;;;
Democrazia diretta e ricostruzione capitalistica;01.1.MORARDEM;Libro edito;;Morandi, Rodolfo;;;1960;Torino;Einaudi;Politica,Economia;Venturati;Venturati;;;
Lettere al fratello;01.1.MORARLET;Libro edito;;Morandi, Rodolfo;;;1959;Torino;Einaudi;Politica;Venturati;Venturati;;;
Lotta di popolo;01.1.MORARLOT;Libro edito;;Morandi, Rodolfo;;;1958;Torino;Einaudi;Politica;Venturati;Venturati;;;
Il partito e la classe;01.1.MORARPAR;Libro edito;;Morandi, Rodolfo;;;1961;Torino;Einaudi;Politica;Venturati;Venturati;;;
Storia della grande industria in Italia;01.1.MORARSTO;Libro edito;;Morandi, Rodolfo;;;1959;Torino;Einaudi;Storia;Venturati;Venturati;;;
Non vogliamo morire;01.1.MORONON;Libro edito;;Moro, Paolo;;;1960;Milano ;Edizioni Avanti!;Storia,Socialismo,Politica;Venturati;Venturati;;;
Una regione per programma;01.1.MUSCREG;Libro edito;;Muscarà, Calogero;;;1968;Padova;Marsilio Editori;Politica,Amministrazione;Venturati;Venturati;;;
Da Garibaldi al socialismo;01.1.MUSIDAG;Libro edito;;Musini, Luigi;;;1961;Milano;Edizioni Avanti!;Politica,Storia,Socialismo;Venturati;Venturati;;;
Gli anni del centro sinistra;01.1.NENANN;Libro edito;;Nenni, Pietro;;;1981;Milano;Sugarco;Biografico,Socialismo;Venturati;Venturati;;;
I conti con la storia. Diari 1967-1971;01.1.NENCON;Libro edito;;Nenni, Pietro;;;1981;Milano;Sugarco;Biografico,Socialismo;Venturati;Venturati;;;
Il diciannovismo;01.1.NENDIC;Libro edito;;Nenni, Pietro;;;1962;Milano;Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Garibaldi;01.1.NENGAR;Libro edito;;Nenni, Pietro;;;1961;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Le prospettive del socialismo dopo la destalinizzazione;01.1.NENPRO;Libro edito;;Nenni, Pietro;;;1962;Torino;Einaudi;Politica,Socialismo;Venturati;Venturati;;;
Il socialismo nella democrazia ;01.1.NENSOC;Libro edito;;Nenni, Pietro ;;;1966;Firenze;Vallecchi;Politica,Storia,Socialismo;Venturati;Venturati;;;
Spagna;01.1.NENSPA.62;Libro edito;;Nenni, Pietro;;;1962;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Spagna;01.1.NENSPA.58;Libro edito;;Nenni, Pietro;;;1958;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Taccuino 1942;01.1.NENTAC;Libro edito;;Nenni, Pietro;;;1955;Milano-Roma;Edizioni Avanti!;Politica,Storia,Socialismo;Venturati;Venturati;;;
Tempo di guerra fredda. Diari 1943-1956;01.1.NENTEM;Libro edito;;Nenni, Pietro;;;1981;Milano;Sugarco;Biografico,Esteri,Socialismo,Comunismo;Venturati;Venturati;;;
Il maggiore è un rosso;01.1.NITMAG;Libro edito;;Nitti, Francesco Fausto;;;1955;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Kabulista!;01.1.NOCKAB;Libro edito;;Nociti, Antonello;;;1983;Milano;Rizzoli;Politica,Comunismo;Venturati;Venturati;;;
Il controllo delle nascite;01.1.OLICON;Libro edito;;Olivetti, Vittoria;;;1957;Milano-Roma;Edizioni Avanti!;Politica,Economia;Venturati;Venturati;;;
L'occupazione del potere. I democristiani '45/'75;01.1.ORFLOC;Libro edito;;Orfei, Ruggero;;;1976;Milano;Longanesi;Inchiesta,Democrazia Cristiana;Venturati;Venturati;;;
Critica liberale 1952-1966;01.1.ORSECRI.1;Libro edito;1;Orsello, Gian Piero;;;1969;Firenze;Landi;Politica,Liberalismo;Venturati;Venturati;;;
Critica liberale 1952-1966;01.1.ORSECRI.2;Libro edito;2;Orsello, Gian Piero;;;1969;Firenze;Landi;Politica,Liberalismo;Venturati;Venturati;;;
Memorie di un italiano terribile;01.1.ORSIMEM;Libro edito;;Orsini, Felice;;;1970;Milano;Club degli Editori;Biografico;Venturati;Venturati;;;
Da Mindszenty a Grösz;01.1.OTTDAM;Libro edito;;Ottavio Pastore;;;1952;Roma;Macchia;Storia,Esteri;Venturati;Venturati;;;
Matteotti socialista;01.1.PAGMAT;Libro edito;;Pagliuca, Anna;;;1965;Roma;Sezione Stampa e Propaganda della Direzione del PSI;Biografico,Socialismo,Resistenza,Fascismo;Venturati;Venturati;;;
Le crisi che ho vissuto;01.1.PAJCRI;Libro edito;;Pajetta, GianCarlo;;;1982;Roma;Editori Riuniti;Politica,Comunismo;Venturati;Venturati;;;
Il ragazzo rosso;01.1.PAJRAG;Libro edito;;Pajetta, Giancarlo;;;1983;Milano;Mondadori ;Biografico,Comunismo;Venturati;Venturati;;;
I precursori di Lenin;01.1.PALPRE;Libro edito;;Paléologue, Maurizio;;;1947;Milano;Garzanti;Politica,Comunismo;Venturati;Venturati;;;
Storia della dominazione europea in Asia;01.1.PANISTO;Libro edito;;Panikkar, Kavalam;;;1958;Torino;Einaudi;Storia;Venturati;Venturati;;;
Ottobre addio;01.1.PANSOTT;Libro edito;;Pansa, Giampaolo;;;1982;Milano;Mondadori;Politica;Venturati;Venturati;;;
Mafia e politica. 1943-1962;01.1.PANTMAF;Libro edito;;Pantalone, Michele;;;1962;Torino;Einaudi;Inchiesta,Storia;Venturati;Venturati;;;
Due mesi con i nazisti;01.1.PARDUE;Libro edito;;Parri, Ferruccio;;;1973;Roma;Carecas;Biografico,Fascismo,Resistenza;Venturati;Venturati;;;
Il comunismo italiano nella seconda guerra mondiale;01.1.PCICOM;Libro edito;;PCI;;;1963;Roma;Editori Riuniti;Storia,Comunismo;Venturati;Venturati;;;
Storia, politica, organizzazione nella lotta dei comunisti italiani per un nuovo blocco storico;01.1.PCISTO;Libro edito;;PCI;;;1972;Roma;Critica Marxista;Politica,Comunismo;Venturati;Venturati;;;
Il Partito Socialista Italiano nei suoi Congressi. Volume I: 1892-1902;01.1.PEDPAR.1;Libro edito;1;Pedone, Franco;;;1959;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Il Partito Socialista Italiano nei suoi Congressi. Volume II: 1902-1917;01.1.PEDPAR.2;Libro edito;2;Pedone, Franco;;;1961;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Il centauro comunista;01.1.PELLCEN;Libro edito;;Pellicani, Luciano;;;1976;Firenze;Vallecchi;Politica,Comunismo;Venturati;Venturati;;;
Gramsci e la questione comunista;01.1.PELLGRA;Libro edito;;Pellicani, Luciano;;;1976;Firenze;Vallecchi;Politica,Comunismo,Storia,Filosofia politica;Venturati;Venturati;;;
La tragedia della classe operaia;01.1.PELMTRA;Libro edito;;Pellicani, Michele;;;1964;Milano;Azione Comune;Politica,Comunismo;Venturati;Venturati;;;
Conversazione con Umberto Terracini;01.1.PENCON;Libro edito;;Pendinelli, Mario;;;1981;Milano;Rizzoli;Politica,Comunismo;Venturati;Venturati;;;
Il Cittadino. Testo e commento alla Costituzione Italiana;01.1.PESCIT;Libro edito;;Pestalozza, Luigi;;;1958;Milano-Roma;Edizioni Avanti!;Giuridico;Venturati;Venturati;;;
Il Cittadino. Testo e commento alla Costituzione Italiana;01.1.PESCITbis;Libro edito;;Pestalozza, Luigi;;;1957;Milano;Edizioni Avanti!;Politica;Venturati;Venturati;;;
Il diritto di non tremolare;01.1.PESDIR;Libro edito;;Pestalozza, Luigi;;;1956;Milano-Roma;Edizioni Avanti!;Politica;Venturati;Venturati;;;
Sulla teoria economica del socialismo;01.1.PETSUL;Libro edito;;Petriccione, Sandro;;;1963;Milano;Azione Comune;Economia,Socialismo;Venturati;Venturati;;;
Gelli. La carriera di un eroe di questa Italia;01.1.PIAGEL;Libro edito;;Piazzesi, Gianfranco;;;1983;Milano;Garzanti;Biografico,Inchiesta;Venturati;Venturati;;;
L'Italia nella prima guerra mondiale;01.1.PIELIT;Libro edito;;Pieri, Piero;;;1965;Torino;Einaudi;Storia,Grande Guerra;Venturati;Venturati;;;
Moro fu vera gloria?;01.1.PIEMOR;Libro edito;;Pietra, Italo;;;1983;Milano;Garzanti;Inchiesta;Venturati;Venturati;;;
Meglio rossi che morti?;01.1.PILMEG;Libro edito;;Pillitteri, Paolo;;;1982;Milano;SugarCo Edizioni;Politica;Venturati;Venturati;;;
Nero su bianco;01.1.PILNER;Libro edito;;Pillitteri, Paolo;;;1981;Milano;SugarCo Edizioni;Biografico;Venturati;Venturati;;;
Somalia '81. Intervista con Siad Barre;01.1.PILSOM;Libro edito;;Pillitteri, Paolo;;;1981;Milano;Sugarco;Giornalismo,Esteri;Venturati;Venturati;;;
Il colpo di Stato del 25 luglio;01.1.PINCOL;Libro edito;;Pintor, Giaime;;;1974;Torino;Einaudi;Politica,Inchiesta,Storia,Fascismo;Venturati;Venturati;;;
comunismo domani;01.1.PINCOM;Libro edito;;Pinzauti, Mario;;;1966;Milano;Azione Comune;Politica,Comunismo;Venturati;Venturati;;;
Cenno storico d'Italia;01.1.PISCEN;Libro edito;;Pisacane, Carlo;;;1957;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Dell'arte bellica in Italia;01.1.PISDEL;Libro edito;;Pisacane, Carlo;;;1957;Milano-Roma;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Guerra combattuta in Italia negli anni 1848-49;01.1.PISGUE;Libro edito;;Pisacane, Carlo;;;1961;Milano;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Ordinamento dell'esercito italiano;01.1.PISORD;Libro edito;;Pisacane, Carlo;;;1957;Milano-Roma;Edizioni Avanti!;Amministrazione,Giuridico;Venturati;Venturati;;;
La rivoluzione;01.1.PISRIV;Libro edito;;Pisacane, Carlo;;;1957;Milano-Roma;Edizioni Avanti!;Politica;Venturati;Venturati;;;
Critone;01.1.PLACRI;Libro edito;;Platone;;;1978;Milano;Signorelli;Filosofia;Venturati;Venturati;;;
Il nazismo e lo sterminio degli Ebrei;01.1.POLNAZ;Libro edito;;Poliakov, Léon;;;1961;Torino;Einaudi;Storia;Venturati;Venturati;;;
L'impresa pubblica nell'esperienza italiana;01.1.POSLIM;Libro edito;;Posner, M.V.;Woolf, S.J.;;1967;Torino;Einaudi;Economia,Amministrazione;Venturati;Venturati;;;
Praxis ed Empirismo;01.1.PREGPRA;Libro edito;;Preti, Giulio;;;1957;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Retorica e logica;01.1.PREGRET;Libro edito;;Preti, Giulio;;;1968;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Discorsi per il Congresso socialista del 1968;01.1.PRELDIS;Libro edito;;Preti, Luigi;;;1968;Roma;SETI;Politica,Socialismo;Venturati;Venturati;;;
32° Congresso Nazionale;01.1.PSI32C;Libro edito;;PSI;;;1957;Milano-Roma;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
33° Congresso Nazionale. Resoconto stenografico;01.1.PSI33C;Libro edito;;PSI;;;1959;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
35° Congresso Nazionale. Resoconto integrale;01.1.PSI35C;Libro edito;;PSI;;;1964;Milano ;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Almanacco socialista;01.1.PSIALM;Libro edito;;PSI;;;1960;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
almanacco socialista 1961;01.1.PSIALM.61;Libro edito;;PSI;;;1961;Milano;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Conferenza Agraria Nazionale. Atti e resoconto;01.1.PSICON.58;Libro edito;;PSI;;;1958;Milano-Roma;Edizioni Avanti!;Politica,Socialismo,Amministrazione;Venturati;Venturati;;;
Il Congresso Costitutivo della Federazione Giovanile Socialista;01.1.PSICON.62;Libro edito;;PSI;;;1962;Milano ;Edizioni Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Il Congresso dell'Unità Socialista. Parigi 19-20 luglio 1930;01.1.PSICON.66;Libro edito;;PSI;;;1966;Milano;Critica sociale;Politica,Socialismo;Venturati;Venturati;;;
Governare il cambiamento. Conferenza programmatica del PSI Rimini 1982;01.1.PSIGOV.82;Libro edito;;PSI;;;1982;Roma;Il compagno;Politica,Socialismo;Venturati;Venturati;;;
Governare il cambiamento. Conferenza programmatica del PSI Rimini 1982;01.1.PSIGOV.82;Libro edito;;PSI;;;1982;Roma;Il compagno;Politica,Socialismo;Venturati;Venturati;;;
La Regione Lombarda. Atti del convegno regionale del PSI;01.1.PSILREG;Libro edito;;PSI lombardo;;;1960;Milano;Edizioni Avanti!;Politica,Socialismo,Amministrazione;Venturati;Venturati;;;
Resoconto stenografico del XVII Congresso Nazionale del Partito Socialista Italiano;01.1.PSIRES;Libro edito;;PSI;;;1962;Milano;Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Donare. Il diario di Anna Maria;01.1.QUODON;Libro edito;;Quoist, Michel;;;1963;Torino;Borla;Biografico;Venturati;Venturati;;;
Da Teheran a Yalta;01.1.RAGDAT;Libro edito;;Ragionieri, Ernesto;;;1965;Roma;Editori Riuniti;Politica,Esteri,Storia;Venturati;Venturati;;;
Sessant'anni dopo. 28 ottobre 1922: il giorno che stravolse l'Italia;01.1.RÉPSES;Libro edito;;Répaci, Antonino;;;1982;Milano;Rizzoli;Storia,Fascismo;Venturati;Venturati;;;
Per un'altra Italia ;01.1.REVPER;Libro edito;;Revel, Jean-François;;;1958;Milano ;C.M Lerici Editore;Storia,Politica;Venturati;Venturati;;;
Angelo Tasca socialista;01.1.RIOANG;Libro edito;;Riosa, Alceo;;;1980;Padova;Marsilio Editori;Biografico,Socialismo;Venturati;Venturati;;;
Dove va l'URSS?;01.1.RIZDOV;Libro edito;;Rizzi, Bruno;;;1965;Milano;Azione Comune;Politica,Esteri;Venturati;Venturati;;;
La scuola delle 150 ore;01.1.ROSSESCU;Libro edito;;Rossetti Pepe, Gabriella;;;1975;Milano;FrancoAngeli;Amministrazione;Venturati;Venturati;;;
L'unificazione socialista;01.1.ROSSICLUN;Libro edito;;Rossi, Cesare;Achilli, Fabrizio;;1969;Milano;Palazzi;Politica,Socialismo;Venturati;Venturati;;;
No al fascismo;01.1.ROSSIENOA;Libro edito;;Rossi, Ernesto;;;1957;Torino;Einaudi;Politica,Fascismo;Venturati;Venturati;;;
Piccola storia della biologia;01.1.ROSTPIC;Libro edito;;Rostand, Jean;;;1949;Torino;Einaudi;Storia;Venturati;Venturati;;;
Il contratto sociale;01.1.ROUCON;Libro edito;;Rousseau, Jean-Jacques;;;1958;Torino;Einaudi;Filosofia politica;Venturati;Venturati;;;
Gesù guerrigliero dell'indipendenza;01.1.ROYGES;Libro edito;;Roy, Raoul;;;1979;Milano;Mursia;Politica;Venturati;Venturati;;;
